bID,bRad,LamSites,Class,DomainID,Chr,StartLoc,EndLoc,TAD_length,Sum of genomic lengths,Radius(nm),EpiClass,WT_Probability_NE0.2,Mutant_Probability_NE0.2,Sum_of_Contacts_with_Active_TADs,Radii,Surface_area,Reads_Rep1_WT,Reads_Rep2_WT,Reads_Rep1_Mut,Reads_Rep2_Mut,WT_RPKMT,Mut_RPKMT,WT_RPKMTL,Mut_RPKMTL,Bin_ALL_TADs,Bin_LTADs,Bin_NonLTADs
302,0.05,0,NonL-TADs,300,2R,8324750,8340049,15299,16197,39.82,Null,0.0681281,0.044133,2382.47,0.05,0.010475,631,464,619,706,2.184286817,2.546079278,2.312497129,2.695525594,1,,2
303,0.08,0,NonL-TADs,301,2R,8340050,8396249,56199,65947,61.44,Active,0.0634452,0.0517064,5279.14,0.08,0.026816,7285,6382,7117,7148,6.695889503,6.732360424,7.85732531,7.900122295,1,,1
304,0.09,0,NonL-TADs,302,2R,8396250,8500949,104699,100935,75.6,Active,0.0541582,0.0547349,15487.1,0.09,0.033939,18397,15380,18263,18271,10.81208408,11.26538564,10.42338233,10.86038739,1,,1
305,0.06,0,NonL-TADs,303,2R,8500950,8523349,22399,15036,45.22,Active,0.0431337,0.0462359,2227.34,0.06,0.015084,2122,1870,2074,1972,8.578045454,8.374987886,5.758270077,5.621961599,1,,1
306,0.1,0,NonL-TADs,304,2R,8523350,8644149,120799,98527,79.3,Null,0.0351866,0.0392234,9491.54,0.1,0.0419,17659,16748,16792,17170,11.28292434,10.72824355,9.202664641,8.75025168,1,,1
307,0.1,0,NonL-TADs,305,2R,8644150,8756049,111899,55032,77.3,Null,0.0308637,0.0373273,4415.59,0.1,0.0419,16149,15767,16199,16187,18.73800229,18.31608462,9.215361547,9.007862167,1,,1
308,0.07,0,NonL-TADs,306,2R,8756050,8802749,46699,26598,57.76,PcG,0.0326907,0.0418039,3484.43,0.07,0.020531,29118,29083,29824,29890,70.69872678,69.87435439,40.2673448,39.79781319,1,,1
309,0.1,0,NonL-TADs,307,2R,8802750,8931949,129199,57374,81.09,PcG,0.0355186,0.0467432,6669.26,0.1,0.0419,19730,16588,20032,20626,20.45205363,22.05573365,9.082238445,9.794392083,1,,1
310,0.09,0,NonL-TADs,308,2R,8931950,9019949,87999,37560,71.35,Null,0.0326616,0.0385866,4431.05,0.09,0.033939,3,2,10,17,0.004301050565,0.02237323615,0.001835787443,0.009549412492,1,,1
311,0.07,0,NonL-TADs,309,2R,9019950,9056749,36799,37058,53.35,Active,0.0407153,0.0432968,2511.81,0.07,0.020531,15228,12744,14440,15164,24.3877464,24.86331571,24.55939308,25.03830957,1,,1
312,0.06,0,NonL-TADs,310,2R,9056750,9085449,28699,36936,49.11,Null,0.0449461,0.0392139,3772.08,0.06,0.015084,3244,2825,3347,3501,5.308812704,5.77038136,6.832513538,7.426558622,1,,1
313,0.07,0,NonL-TADs,311,2R,9085450,9128749,43299,45344,56.33,Active,0.0573178,0.0431828,4285.85,0.07,0.020531,13466,12563,12566,13281,18.54674848,17.7411162,19.42270637,18.57902429,1,,1
314,0.12,1,L-TADs,312,2R,9128750,9318949,190199,86970,92.25,Null,0.0863523,0.0376737,11361.2,0.12,0.060336,993,903,1080,1010,0.7043669833,0.7479411748,0.322077385,0.3420020293,1,1,
315,0.05,0,NonL-TADs,313,2R,9318950,9338649,19699,16325,43.32,Active,0.0585882,0.0401186,1642.9,0.05,0.010475,3399,2507,3093,3231,11.68881218,12.05672339,9.686778966,9.991675182,1,,1
316,0.06,0,NonL-TADs,314,2R,9338650,9370049,31399,29586,50.61,Null,0.0478512,0.038637,3707.93,0.06,0.015084,878,900,996,1049,1.941670942,2.151283695,1.829557518,2.027067085,1,,1
317,0.06,0,NonL-TADs,315,2R,9370050,9395249,25199,30484,47.03,Active,0.0416887,0.0426376,2280.03,0.06,0.015084,16634,15500,16357,17261,34.0582998,34.32341932,41.20136557,41.52208876,1,,1
318,0.07,0,NonL-TADs,316,2R,9395250,9443849,48599,43270,58.54,Active,0.0353653,0.042208,5477.5,0.07,0.020531,2476,2152,2142,2307,3.455704374,3.200119061,3.076777882,2.849218128,1,,1
319,0.05,0,NonL-TADs,317,2R,9443850,9463849,19999,4555,43.54,Null,0.0275507,0.0338462,1724.09,0.05,0.010475,7,18,24,11,0.1773298126,0.2391499471,0.04038888425,0.05446912391,1,,1
320,0.05,0,NonL-TADs,318,2R,9463850,9479249,15399,12771,39.91,Null,0.0253911,0.0324741,0,0.05,0.010475,1108,704,1085,1120,4.584198514,5.373711109,3.801857213,4.456631247,1,,1
321,0.12,0,NonL-TADs,319,2R,9479250,9710549,231299,195533,98.47,Null,0.0219978,0.0338661,13481.6,0.12,0.060336,3690,3030,3553,3493,1.110399703,1.121535956,0.9386974661,0.9481117085,1,,1
322,0.07,0,NonL-TADs,320,2R,9710550,9748549,37999,31452,53.93,Active,0.0242257,0.0412488,2779.81,0.07,0.020531,11426,11330,11149,11757,23.37640838,22.66687322,19.3487933,18.76150679,1,,1
323,0.09,0,NonL-TADs,321,2R,9748550,9828249,79699,80033,69.03,Null,0.0218341,0.0385554,7113.38,0.09,0.033939,6899,6093,7625,8304,5.244897956,6.194553981,5.266878105,6.220513918,1,,1
324,0.06,0,NonL-TADs,322,2R,9828250,9850049,21799,24544,44.81,Active,0.0237049,0.0439412,1884.4,0.06,0.015084,41811,37509,42129,45535,104.4161055,111.1646147,117.5645164,125.1628195,1,,1
325,0.06,0,NonL-TADs,323,2R,9850050,9879049,28999,89596,49.28,Active,0.0238187,0.0442304,1769.72,0.06,0.015084,20109,16971,20422,20482,13.37153397,14.20913972,41.31300933,43.90089598,1,,1
326,0.11,0,NonL-TADs,324,2R,9879050,10033449,154399,90343,86.05,Null,0.0229249,0.0418488,11859.9,0.11,0.050699,5313,2958,4548,3865,2.957969152,2.898324494,1.730787162,1.695887472,1,,1
327,0.06,0,NonL-TADs,325,2R,10033450,10061849,28399,32425,48.94,Active,0.0282978,0.0476938,3157.43,0.06,0.015084,22326,18892,21312,21078,41.07116839,40.68872282,46.89364537,46.45698219,1,,1
328,0.07,0,NonL-TADs,326,2R,10061850,10104549,42699,27222,56.07,PcG,0.0338036,0.0512497,4046.12,0.07,0.020531,92816,93551,92848,93027,221.1969388,212.5159731,141.0202362,135.4858385,1,,1
329,0.08,0,NonL-TADs,327,2R,10104550,10158549,53999,51907,60.63,Active,0.0449307,0.0531987,4011.8,0.08,0.026816,44033,38065,41827,42749,51.10186799,50.71212839,49.12210711,48.74746659,1,,1
330,0.06,0,NonL-TADs,328,2R,10158550,10191449,32899,26176,51.4,Null,0.0600265,0.0474721,3067.22,0.06,0.015084,858,758,904,847,1.994656893,2.081965316,1.587043339,1.656510049,1,,1
331,0.08,1,L-TADs,329,2R,10191450,10247349,55899,50972,61.33,Null,0.0659969,0.047943,5212.06,0.08,0.026816,3613,2842,3844,3994,4.091614413,4.785906512,3.73097497,4.364071392,1,1,
332,0.1,0,NonL-TADs,330,2R,10247350,10367449,120099,41845,79.14,PcG,0.060364,0.0551777,8953.06,0.1,0.0419,4913,4155,4786,5042,7.001612428,7.309912892,2.439508006,2.546926327,1,,1
333,0.11,0,NonL-TADs,331,2R,10367450,10511549,144099,129279,84.1,Active,0.0738694,0.0622996,15826.7,0.11,0.050699,18533,16550,19141,18545,8.767966201,9.072828169,7.866216299,8.139724446,1,,2
334,0.11,1,L-TADs,332,2R,10511550,10656849,145299,80546,84.33,Null,0.135887,0.0532514,9161.02,0.11,0.050699,9102,7811,8732,8637,6.784327411,6.711528883,3.760868524,3.720512911,2,1,
335,0.09,0,NonL-TADs,333,2R,10656850,10741749,84899,54764,70.5,PcG,0.109722,0.0576182,5929.58,0.09,0.033939,7356,6083,6590,6470,7.928698797,7.422302346,5.114397825,4.78774739,2,,2
336,0.05,0,NonL-TADs,334,2R,10741750,10758249,16499,14809,40.84,Active,0.135878,0.0543681,0,0.05,0.010475,4246,3482,4109,4009,16.86054109,17.06137152,15.13350827,15.31376755,2,,3
337,0.09,1,L-TADs,335,2R,10758250,10848949,90699,62803,72.07,Null,0.151557,0.0545225,7519.29,0.09,0.033939,6491,6017,6724,7067,6.43483789,6.834488149,4.455695476,4.73242659,2,1,
338,0.06,0,NonL-TADs,336,2R,10848950,10881249,32299,34849,51.08,Active,0.153958,0.0585485,2455.6,0.06,0.015084,2399,2061,2386,2554,4.134991926,4.411916198,4.461448764,4.760236155,2,,3
339,0.1,1,L-TADs,337,2R,10881250,10997549,116299,31159,78.3,Null,0.157914,0.0634864,5269.1,0.1,0.0419,0,0,0,0,0,0,0,0,3,1,
340,0.07,0,NonL-TADs,338,2R,10997550,11033449,35899,32058,52.92,Null,0.100105,0.0511631,2639.41,0.07,0.020531,1656,1601,1777,1830,3.282550844,3.501872614,2.931335551,3.127191071,2,,2
341,0.08,0,NonL-TADs,339,2R,11033450,11087249,53799,39398,60.55,Null,0.0677819,0.0501946,3598.66,0.08,0.026816,859,809,915,885,1.367892594,1.421965159,1.001732976,1.041331313,1,,2
342,0.1,0,NonL-TADs,340,2R,11087250,11196949,109699,88029,76.79,Null,0.0560774,0.0594766,6225.91,0.1,0.0419,8721,7798,8824,9148,6.063007598,6.354205669,4.865317786,5.098992432,1,,1
343,0.07,0,NonL-TADs,341,2R,11196950,11236249,39299,23707,54.54,PcG,0.0604028,0.0576791,3273.9,0.07,0.020531,7358,6970,8336,8460,19.52716072,22.05057366,11.77969921,13.30194025,1,,1
344,0.06,0,NonL-TADs,342,2R,11236250,11268449,32199,33076,51.03,Active,0.0712798,0.0553669,3308.81,0.06,0.015084,8580,6546,8329,8321,14.77546782,15.66721779,15.17790533,16.09394378,1,,2
345,0.1,1,L-TADs,343,2R,11268450,11398949,130499,109177,81.36,Null,0.085914,0.0520404,9436.95,0.1,0.0419,32,22,29,42,0.01598058712,0.02024034069,0.01336954735,0.01693330735,1,1,
346,0.05,0,NonL-TADs,344,2R,11398950,11419349,20399,20346,43.83,Active,0.0703827,0.0521717,1526.41,0.05,0.010475,3376,2922,3624,3719,10.00123757,11.23272468,9.975252691,11.20354019,1,,2
347,0.07,0,NonL-TADs,345,2R,11419350,11461249,41899,31861,55.71,Active,0.0567582,0.0532106,4904.09,0.07,0.020531,9231,8649,8926,8881,18.13168809,17.39490184,13.78776854,13.22749868,1,,1
348,0.13,0,NonL-TADs,346,2R,11461250,11707449,246199,132003,100.54,Null,0.0374828,0.0445829,16751.2,0.13,0.070811,9039,7679,8757,9788,4.091953097,4.372538704,2.193957265,2.34439712,1,,1
349,0.06,0,NonL-TADs,347,2R,11707450,11736449,28999,16336,49.28,PcG,0.0481136,0.0472365,1343.12,0.06,0.015084,1396,1158,1393,1512,5.051324815,5.534661163,2.845561646,3.1178394,1,,1
350,0.09,0,NonL-TADs,348,2R,11736450,11820949,84499,74725,70.39,Null,0.0602032,0.0482286,8580.19,0.09,0.033939,14962,12758,14753,15604,11.98553515,12.6439728,10.5991682,11.18144437,1,,1
351,0.11,1,L-TADs,349,2R,11820950,11984449,163499,137816,87.71,Active,0.115023,0.0641213,22586.7,0.11,0.050699,35270,32827,33873,34728,15.96461562,15.4924974,13.45683745,13.05888123,2,1,
352,0.07,0,NonL-TADs,350,2R,11984450,12026249,41799,40277,55.67,Active,0.0840981,0.0638487,5995.84,0.07,0.020531,19389,18896,18019,19464,30.71154494,28.96462126,29.59326528,27.90995121,1,,2
353,0.07,0,NonL-TADs,351,2R,12026250,12067749,41499,30414,55.54,Active,0.073914,0.0625596,5541.21,0.07,0.020531,11279,10639,11390,11689,23.2839956,23.61750803,17.06449414,17.30892044,1,,2
354,0.06,0,NonL-TADs,352,2R,12067750,12091749,23999,35731,46.27,Active,0.0751269,0.05825,2762.93,0.06,0.015084,11681,9622,11546,11586,19.26307981,20.14923856,28.6799077,29.99926843,1,,2
355,0.05,0,NonL-TADs,353,2R,12091750,12107949,16199,288,40.59,Null,0.0833727,0.0533336,3031.6,0.05,0.010475,0,0,2,3,0,0.5403412744,0,0.009606660103,1,,2
356,0.1,1,L-TADs,354,2R,12107950,12224649,116699,90847,78.39,Active,0.102572,0.0583464,15671.6,0.1,0.0419,19688,17525,19273,19930,13.23470362,13.43072134,10.30285709,10.45545156,2,1,
357,0.04,0,NonL-TADs,355,2R,12224650,12235649,10999,6854,35.67,Active,0.080024,0.0452481,0,0.04,0.006704,2447,2067,2228,2269,21.27882203,20.42064303,13.259846,12.72507386,1,,2
358,0.12,0,NonL-TADs,356,2R,12235650,12458349,222699,127625,97.23,Null,0.0442653,0.0391959,14238.9,0.12,0.060336,18905,17237,18728,17992,9.149693668,8.954834083,5.243533443,5.131862738,1,,1
359,0.13,0,NonL-TADs,357,2R,12458350,12738149,279799,196830,104.92,Null,0.0349082,0.0362202,18158.5,0.13,0.070811,63636,59721,59926,59172,20.24895588,18.832319,14.24451834,13.24795782,1,,1
360,0.05,0,NonL-TADs,358,2R,12738150,12756949,18799,13694,42.65,Active,0.0533916,0.0381169,1411.89,0.05,0.010475,28587,26320,29607,28922,129.5470475,133.02443,94.36764024,96.90071515,1,,1
361,0.1,1,L-TADs,359,2R,12756950,12891949,134999,98003,82.29,Null,0.063489,0.0388623,10064.8,0.1,0.0419,6755,5932,6847,6749,4.1826324,4.317798905,3.036396737,3.134521338,1,1,
362,0.09,0,NonL-TADs,360,2R,12891950,12986249,94299,85302,73.01,Active,0.0474266,0.0460474,11164.1,0.09,0.033939,21390,17207,21315,22026,14.61922882,15.81358509,13.22441868,14.30482227,1,,1
363,0.13,0,NonL-TADs,361,2R,12986250,13281149,294899,138074,106.77,Null,0.0278961,0.0397759,18240.9,0.13,0.070811,493,400,509,560,0.2089631373,0.2409663642,0.09783816228,0.1128223214,1,,1
364,0.08,0,NonL-TADs,362,2R,13281150,13346249,65099,64676,64.53,Active,0.0358462,0.0509023,7283.05,0.08,0.026816,19788,17392,19139,20308,18.57361165,18.98285165,18.45292411,18.85950496,1,,1
365,0.1,0,NonL-TADs,363,2R,13346250,13480349,134099,123275,82.1,Active,0.0513157,0.0572207,21300.2,0.1,0.0419,79501,72678,77018,80567,39.88502259,39.78601948,36.66564374,36.57463182,1,,1
366,0.08,1,L-TADs,364,2R,13480350,13551949,71599,48663,66.61,Null,0.0638352,0.0517222,7538.43,0.08,0.026816,52,47,40,45,0.06573042543,0.0543639085,0.04467436267,0.03694899201,1,1,
367,0.07,0,NonL-TADs,365,2R,13551950,13587049,35099,37128,52.52,Active,0.0614957,0.0546248,5689.29,0.07,0.020531,20608,17905,19861,20422,33.51474519,33.7684306,35.45216273,35.72051315,1,,1
368,0.09,0,NonL-TADs,366,2R,13587050,13682149,95099,96490,73.22,Active,0.0546461,0.0555478,14059.3,0.09,0.033939,19556,17541,19366,19896,12.42185946,12.66428684,12.60355229,12.84952562,1,,1
369,0.08,0,NonL-TADs,367,2R,13682150,13737049,54899,57709,60.96,PcG,0.067234,0.0566792,4367.48,0.08,0.026816,2175,1809,2196,2349,2.230518906,2.451212513,2.3446878,2.576677588,1,,2
370,0.06,1,L-TADs,368,2R,13737050,13758949,21899,11725,44.88,Active,0.0676515,0.0508139,2676.69,0.06,0.015084,4981,3901,4809,4310,24.4753012,24.20610933,13.10438406,12.96025535,1,1,
371,0.13,0,NonL-TADs,369,2R,13758950,14013949,254999,161431,101.72,Null,0.0583786,0.0418099,15618.1,0.13,0.070811,5648,4332,5992,6041,1.99743995,2.319944555,1.264509777,1.468676228,1,,1
372,0.08,0,NonL-TADs,370,2R,14013950,14072049,58099,57398,62.13,Active,0.0794273,0.0405615,6115.34,0.08,0.026816,56447,49635,60008,58496,59.71384916,64.25795144,58.99336502,63.48263992,1,,2
373,0.12,2,L-TADs,371,2R,14072050,14285249,213199,39894,95.83,Null,0.147065,0.0379702,14670.6,0.12,0.060336,5015,3443,4666,4744,6.849994537,7.341294835,1.281777504,1.373710084,2,1,
374,0.05,0,NonL-TADs,372,2R,14285250,14299849,14599,19762,39.2,Active,0.127153,0.0405747,0,0.05,0.010475,29677,26484,28631,29194,91.81931847,91.07000756,124.2916208,123.2773128,2,,3
375,0.06,0,NonL-TADs,373,2R,14299850,14332749,32899,23260,51.4,Active,0.130074,0.0411851,3781.78,0.06,0.015084,8752,8638,9647,9555,24.15572069,25.69374331,17.07839336,18.16579438,2,,3
376,0.1,1,L-TADs,374,2R,14332750,14440249,107499,86018,76.27,Null,0.142364,0.0352633,10189.4,0.1,0.0419,10512,9387,9184,9390,7.474326051,6.72057956,5.980767991,5.377638979,2,1,
377,0.08,0,NonL-TADs,375,2R,14440250,14499849,59599,57637,62.66,Null,0.104391,0.0342922,3186.5,0.08,0.026816,443,343,463,480,0.4406069121,0.509214722,0.4261021257,0.4924513655,2,,2
378,0.06,0,NonL-TADs,376,2R,14499850,14526649,26799,25417,48,Active,0.0994457,0.0382256,2960.99,0.06,0.015084,12241,10664,11617,12101,29.1162966,29.04319575,27.61479573,27.54546462,2,,2
379,0.05,0,NonL-TADs,377,2R,14526650,14547049,20399,24198,43.83,Null,0.0986002,0.0336488,1923.08,0.05,0.010475,4644,4691,5411,5090,12.46421632,13.50646857,14.7854849,16.0218406,2,,2
380,0.06,1,L-TADs,378,2R,14547050,14575749,28699,14892,49.11,Null,0.0946594,0.033724,2396.34,0.06,0.015084,1315,1163,1318,1343,5.376236959,5.56137875,2.789746012,2.885816661,2,1,
381,0.06,0,NonL-TADs,379,2R,14575750,14600149,24399,23209,46.52,Active,0.095514,0.0386301,3968.65,0.06,0.015084,2074,1747,2236,2209,5.319254097,5.960819387,5.059820827,5.670095379,2,,2
382,0.1,0,NonL-TADs,380,2R,14600150,14707049,106899,93618,76.13,Null,0.0778181,0.0361252,9836.12,0.1,0.0419,8495,7804,7998,8438,5.625119182,5.464210228,4.926261308,4.785343484,1,,2
383,0.07,0,NonL-TADs,381,2R,14707050,14746149,39099,27673,54.44,Active,0.0962265,0.0418393,3787.52,0.07,0.020531,21219,20798,20786,22527,49.05676721,48.71387176,34.72078362,34.47809338,2,,2
384,0.13,1,L-TADs,382,2R,14746150,15009249,263099,184211,102.79,Null,0.157662,0.0386267,14800,0.13,0.070811,3202,2364,2981,3087,0.9762426327,1.025228424,0.683524573,0.7178223905,3,1,
385,0.06,0,NonL-TADs,383,2R,15009250,15030449,21199,46209,44.39,Active,0.095511,0.0431498,1543.71,0.06,0.015084,11437,9453,12056,12655,14.6063599,16.64387236,31.83854355,36.27985745,2,,2
386,0.07,0,NonL-TADs,384,2R,15030450,15066949,36499,62529,53.21,Null,0.077454,0.0396285,4502.67,0.07,0.020531,4788,4260,4363,4566,4.675211218,4.444387995,8.009432648,7.613993177,1,,2
387,0.07,0,NonL-TADs,385,2R,15066950,15116249,49299,1288,58.82,Null,0.0703852,0.0401359,5391.76,0.07,0.020531,573,532,558,559,27.71893516,26.99155693,0.724192955,0.7051892598,1,,2
388,0.12,0,NonL-TADs,386,2R,15116250,15339649,223399,161426,97.33,Active,0.0973639,0.0596352,32530.2,0.12,0.060336,169429,154033,153847,155318,64.74107549,59.60839977,46.78128753,43.0724647,2,,2
389,0.08,1,L-TADs,387,2R,15339650,15392049,52399,50105,60.03,Active,0.134558,0.058281,7557.35,0.08,0.026816,15541,13437,16888,16046,18.68604839,20.45756976,17.86798326,19.56194838,2,1,
390,0.12,0,NonL-TADs,388,2R,15392050,15614049,221999,132458,97.13,Null,0.103948,0.0538698,13090,0.12,0.060336,3988,3165,4111,4005,1.744777931,1.90701659,1.041039803,1.137841177,2,,2
391,0.19,3,L-TADs,389,2R,15614050,16437349,823299,204124,150.34,Null,0.291891,0.0739772,33527.8,0.19,0.151259,53502,52357,51023,52016,16.75574894,15.71079606,4.154323639,3.895244055,4,2,
392,0.1,0,NonL-TADs,390,2R,16437350,16560449,123099,106737,79.8,Active,0.082799,0.0677696,12690.8,0.1,0.0419,14871,13275,14321,14850,8.519847452,8.506030806,7.387411413,7.375431239,1,,2
393,0.12,0,NonL-TADs,391,2R,16560450,16770549,210099,100632,95.36,Null,0.0600519,0.0719319,13191.7,0.12,0.060336,3673,2981,3608,3846,2.136371718,2.305387375,1.02326693,1.104221069,1,,1
394,0.09,0,NonL-TADs,392,2R,16770550,16863449,92899,53072,72.65,PcG,0.0689402,0.0740567,6491.34,0.09,0.033939,73,54,57,65,0.077315825,0.07154594142,0.0441695332,0.04087327316,1,,2
395,0.06,0,NonL-TADs,393,2R,16863450,16883949,20499,16057,43.9,PcG,0.0785469,0.0625066,1687.86,0.06,0.015084,5734,5401,5288,5305,22.40556715,20.53265883,17.55042645,16.08336518,1,,2
396,0.06,0,NonL-TADs,394,2R,16883950,16912949,28999,27630,49.28,Active,0.0907286,0.0552991,2034.76,0.06,0.015084,6366,5394,6519,6615,13.75170554,14.7947201,13.10250781,14.09628319,2,,2
397,0.06,1,L-TADs,395,2R,16912950,16944649,31699,6558,50.77,Null,0.098769,0.0581437,4264.95,0.06,0.015084,231,242,244,284,2.330343038,2.505838839,0.482109519,0.5184167043,2,1,
398,0.05,0,NonL-TADs,396,2R,16944650,16962649,17999,26747,42.04,Active,0.10793,0.0621307,3018.97,0.05,0.010475,11621,10981,11201,12026,27.30246886,27.02767378,40.57220594,40.16385302,2,,2
399,0.08,0,NonL-TADs,397,2R,16962650,17031449,68799,59289,65.73,Active,0.119361,0.0688795,7384.5,0.08,0.026816,28562,21314,28342,30638,27.17988523,30.96144839,23.42284358,26.68168598,2,,2
400,0.05,0,NonL-TADs,398,2R,17031450,17047149,15699,13914,40.17,Active,0.144414,0.0667448,2765.56,0.05,0.010475,1985,1505,2072,2229,8.10407694,9.620730954,7.182631158,8.52683932,2,,3
401,0.09,1,L-TADs,399,2R,17047150,17139749,92599,85625,72.57,Active,0.161637,0.0682936,10211.6,0.09,0.033939,11995,10558,13464,14098,8.510084317,10.01845542,7.869155926,9.263925586,3,1,
402,0.07,0,NonL-TADs,400,2R,17139750,17181549,41799,38161,55.67,Null,0.132079,0.0594168,8958.39,0.07,0.020531,10391,9909,10385,10467,17.18725098,17.00664302,15.6913487,15.52646006,2,,3
403,0.09,0,NonL-TADs,401,2R,17181550,17269449,87899,83335,71.32,Active,0.112599,0.0637921,10106.3,0.09,0.033939,13778,10765,14255,14782,9.515471991,10.84463479,9.02139795,10.28154632,2,,2
404,0.09,0,NonL-TADs,402,2R,17269450,17367749,98299,96316,74.03,Null,0.136564,0.0557706,10458.2,0.09,0.033939,4000,4030,4399,4564,2.693687648,2.896313606,2.639347496,2.837885851,2,,3
405,0.07,1,L-TADs,403,2R,17367750,17408649,40899,39610,55.27,Active,0.162051,0.0591944,4215.56,0.07,0.020531,9752,8820,9333,9884,15.14899981,15.09980622,14.67155389,14.62391071,3,1,
406,0.09,0,NonL-TADs,404,2R,17408650,17500549,91899,60736,72.39,Null,0.148256,0.0539049,9233.4,0.09,0.033939,3025,3860,2954,3692,3.662586462,3.405687353,2.420601436,2.250816952,2,,3
407,0.08,0,NonL-TADs,405,2R,17500550,17575849,75299,65332,67.74,Active,0.140767,0.0577093,6703.07,0.08,0.026816,14439,12557,14620,15311,13.35068637,14.25889594,11.58351428,12.37150812,2,,3
408,0.07,0,NonL-TADs,406,2R,17575850,17611249,35399,28042,52.67,Active,0.175445,0.0523583,4005.64,0.07,0.020531,31404,25574,28700,25455,65.64903454,60.1063286,52.00514779,47.61438647,3,,3
409,0.14,1,L-TADs,407,2R,17611250,17948749,337499,187719,111.68,Null,0.449761,0.0618387,16731.3,0.14,0.082124,1848,1713,1824,1937,0.612905995,0.6235707387,0.3409020485,0.3468338439,5,3,
410,0.05,1,L-TADs,408,2R,17948750,17966849,18099,7027,42.12,Active,0.354338,0.0579424,1170.73,0.05,0.010475,2557,2290,2378,2572,22.28605479,21.92430684,8.652638653,8.512188748,5,2,
411,0.12,0,NonL-TADs,409,2R,17966850,18184549,217699,185552,96.5,PcG,0.285472,0.0606389,14144.8,0.12,0.060336,21669,19443,22380,24699,7.158682358,7.896819581,6.101579836,6.730718409,4,,5
412,0.05,0,NonL-TADs,410,2R,18184550,18204549,19999,13708,43.54,Null,0.330625,0.0488461,1078.21,0.05,0.010475,1423,909,1467,1221,5.496479062,6.103034075,3.767475123,4.183228716,4,,5
413,0.08,1,L-TADs,411,2R,18204550,18261749,57199,57626,61.8,Null,0.345159,0.0530431,4165.6,0.08,0.026816,4684,4126,4165,3831,4.939551993,4.318619453,4.976426566,4.350858662,4,2,
414,0.07,0,NonL-TADs,412,2R,18261750,18298549,36799,31600,53.35,Active,0.346073,0.0616383,1242.23,0.07,0.020531,3060,2632,3106,3091,5.819798342,6.103585599,4.997571336,5.241264842,4,,6
415,0.05,0,NonL-TADs,413,2R,18298550,18316049,17499,15522,41.64,Active,0.365094,0.0594542,946.374,0.05,0.010475,7159,6072,7096,6906,27.5407091,28.07585691,24.42921805,24.90390599,5,,6
416,0.1,1,L-TADs,414,2R,18316050,18449849,133799,92081,82.04,Null,0.415919,0.0565344,9188.62,0.1,0.0419,4511,3216,4505,4424,2.711259038,3.018029093,1.865899173,2.077019536,5,3,
417,0.07,0,NonL-TADs,415,2R,18449850,18483849,33999,31622,51.97,Null,0.385968,0.056001,3342.05,0.07,0.020531,1054,619,979,905,1.709372584,1.854309359,1.589863815,1.724667506,5,,6
418,0.07,1,L-TADs,416,2R,18483850,18530749,46899,42375,57.85,Active,0.366648,0.063934,3947.33,0.07,0.020531,101053,90435,96187,91802,146.0030673,138.0744597,131.9192301,124.7554368,5,2,
419,0.06,0,NonL-TADs,417,2R,18530750,18558149,27399,16429,48.36,Active,0.343843,0.0655418,1690.67,0.06,0.015084,10960,10628,10569,10129,42.45525047,39.21099647,25.45703529,23.51171433,4,,6
420,0.06,0,NonL-TADs,418,2R,18558150,18587649,29499,14349,49.56,Active,0.286352,0.0639982,3446.09,0.06,0.015084,3809,3052,4175,4373,15.44884128,18.54101495,7.514675872,9.018781094,4,,5
421,0.09,0,NonL-TADs,419,2R,18587650,18684949,97299,91093,73.78,Null,0.267166,0.0607769,7576.25,0.09,0.033939,63,52,70,86,0.04078899106,0.05330036946,0.03818735611,0.04990072411,4,,5
422,0.04,0,NonL-TADs,420,2R,18684950,18695249,10299,6597,34.9,Active,0.355672,0.0600825,0,0.04,0.006704,33862,29878,31170,32346,312.1732621,299.6589698,199.961842,191.9458417,5,,6
423,0.1,1,L-TADs,421,2R,18695250,18825349,130099,123379,81.28,PcG,0.423689,0.0678992,9705.42,0.1,0.0419,90507,80777,85009,82008,44.85446471,42.13180435,42.5375983,39.95557144,5,3,
424,0.1,0,NonL-TADs,422,2R,18825350,18966849,141499,43771,83.59,PcG,0.329557,0.0749948,7122.93,0.1,0.0419,16250,14310,14785,15324,22.55781387,21.40920246,6.977986211,6.622677197,4,,5
425,0.13,2,L-TADs,423,2R,18966850,19241949,275099,90840,104.32,Null,0.557369,0.0723121,13290.4,0.13,0.070811,21,16,32,13,0.01315996475,0.01541792804,0.004345530876,0.005091129314,6,4,
426,0.12,1,L-TADs,424,2R,19241950,19440449,198499,135248,93.57,Active,0.540855,0.0757703,29287.3,0.12,0.060336,33225,28330,30656,31072,14.70491816,14.20502428,10.01924831,9.678643843,6,4,
427,0.05,0,NonL-TADs,425,2R,19440450,19453249,12799,43602,37.52,Active,0.319854,0.0666601,0,0.05,0.010475,3998,3475,3736,4121,5.537563244,5.608425674,18.86466385,19.10606893,4,,5
428,0.08,0,NonL-TADs,426,2R,19453250,19505149,51899,13475,59.83,Null,0.227595,0.0669749,6629.52,0.08,0.026816,0,4,4,4,0.009590943776,0.0184778671,0.002490182227,0.004797573349,3,,4
429,0.07,0,NonL-TADs,427,2R,19505150,19542149,36999,22209,53.45,PcG,0.185506,0.071358,4744.34,0.07,0.020531,0,0,0,0,0,0,0,0,3,,4
