bID,bRad,LamSites,Class,DomainID,Chr,StartLoc,EndLoc,TAD_length,Sum of genomic lengths,Radius(nm),EpiClass,WT_Probability_NE0.2,Mutant_Probability_NE0.2,Sum_of_Contacts_with_Active_TADs,Radii,Surface_area,Reads_Rep1_WT,Reads_Rep2_WT,Reads_Rep1_Mut,Reads_Rep2_Mut,WT_RPKMT,Mut_RPKMT,WT_RPKMTL,Mut_RPKMTL,Bin_ALL_TADs,Bin_LTADs,Bin_NonLTADs
0,0.09,1,L-TADs,1,2L,67150,156849,89699,63288,71.8,Active,0.516657,0.205678,6748.58,0.09,0.033939,31259,29882,34344,35557,31.21341551,34.3757865,22.02292825,24.25416979,6,4,
1,0.09,0,NonL-TADs,2,2L,156850,250149,93299,95312,72.75,Null,0.370854,0.159126,9537.66,0.09,0.033939,21280,15803,23353,22915,12.57064049,15.10858424,12.84186204,15.43456394,5,,6
2,0.07,0,NonL-TADs,3,2L,250150,295749,45599,65265,57.31,Active,0.347361,0.133478,3125.41,0.07,0.020531,15416,12811,14039,13938,13.97379953,13.34170786,20.00043918,19.09573813,5,,6
3,0.1,1,L-TADs,4,2L,295750,421449,125699,90798,80.35,HP1/centro,0.412228,0.12448,8091.74,0.1,0.0419,95490,91534,98530,93614,66.55047912,65.86294883,48.07238246,47.57574864,5,3,
4,0.07,0,NonL-TADs,5,2L,421450,472049,50599,34536,59.33,HP1/centro,0.306351,0.109989,1622.83,0.07,0.020531,19096,17470,21336,21760,34.20861938,38.83788335,23.34885826,26.50853059,4,,5
5,0.05,0,NonL-TADs,6,2L,472050,488649,16599,6402,40.92,Active,0.272486,0.10244,0,0.05,0.010475,15319,11341,14526,13730,134.547181,137.3680199,51.89294853,52.98090629,4,,5
6,0.08,0,NonL-TADs,7,2L,488650,542149,53499,18413,60.44,PcG,0.262985,0.0992175,3041.7,0.08,0.026816,14924,13620,14131,14643,50.086468,48.63694771,17.23849297,16.73960482,4,,5
7,0.13,1,L-TADs,8,2L,542150,809749,267599,150774,103.37,PcG,0.431012,0.0908547,12316.5,0.13,0.070811,36889,35790,36500,37775,15.57444624,15.33228311,8.775150722,8.638708118,5,3,
8,0.05,0,NonL-TADs,9,2L,809750,821449,11699,13067,36.41,Active,0.307051,0.087185,1171.12,0.05,0.010475,5363,5112,5471,5750,25.90050716,26.72675899,28.92913301,29.852001,4,,5
9,0.06,0,NonL-TADs,10,2L,821450,852449,30999,27745,50.39,Active,0.303318,0.0916625,1591.25,0.06,0.015084,6718,4767,6119,6024,13.37446437,13.62171821,11.97053175,12.19183109,4,,5
10,0.05,0,NonL-TADs,11,2L,852450,870849,18399,18505,42.35,Active,0.325562,0.0920014,1386.64,0.05,0.010475,9616,8797,9285,10506,32.14886103,33.28658761,32.33407649,33.47835772,4,,5
